EmployeeID,Tenure,Salary,PerformanceScore,Department,JobRole,Layoff
1,7,99449,4,Sales,Consultant,1
2,15,112986,1,Marketing,Analyst,1
3,11,119643,4,HR,Manager,1
4,8,50764,2,HR,Developer,0
5,7,116027,3,Marketing,Analyst,1
6,19,68494,1,Engineering,Analyst,0
7,11,33373,1,Engineering,Developer,0
8,11,42161,2,Engineering,Consultant,0
9,4,57350,3,Marketing,Analyst,0
10,8,55351,4,HR,Executive,0
11,3,118668,3,Marketing,Analyst,0
12,2,45305,2,Marketing,Consultant,0
13,12,105353,2,Engineering,Consultant,0
14,6,106797,3,Finance,Executive,0
15,2,95953,4,HR,Analyst,0
16,1,87458,4,Engineering,Consultant,0
17,12,50358,1,Finance,Developer,0
18,12,33267,4,Finance,Manager,0
19,17,112745,3,Sales,Manager,0
20,10,119588,2,HR,Manager,0
21,16,68513,1,Finance,Analyst,0
22,15,56092,1,Engineering,Executive,0
23,15,41338,2,Sales,Consultant,0
24,19,30412,4,HR,Developer,1
25,12,37543,2,Marketing,Developer,0
26,3,63496,4,Engineering,Analyst,0
27,5,90692,2,Finance,Manager,0
28,19,119084,3,Finance,Analyst,0
29,7,74425,4,Engineering,Executive,0
30,9,68756,3,Finance,Executive,0
31,7,48888,1,Sales,Consultant,0
32,18,65735,2,HR,Consultant,0
33,4,77295,1,Sales,Executive,0
34,14,113042,1,Finance,Executive,1
35,18,115999,1,Marketing,Executive,1
36,9,47955,1,HR,Analyst,0
37,2,67841,2,HR,Executive,1
38,15,100640,1,Engineering,Developer,0
39,7,95510,2,Engineering,Manager,0
40,12,64911,2,Marketing,Executive,0
41,8,89031,3,HR,Manager,0
42,15,118726,4,Marketing,Analyst,1
43,3,37357,4,Engineering,Manager,0
44,14,62479,2,Engineering,Analyst,1
45,17,91476,3,HR,Developer,0
46,4,74811,2,Sales,Analyst,1
47,18,66208,2,Finance,Analyst,0
48,8,50150,2,Engineering,Consultant,0
49,4,101180,3,Engineering,Executive,0
50,2,73286,4,Sales,Executive,0
51,6,98450,3,Sales,Developer,0
52,10,51352,1,Marketing,Developer,0
53,4,85069,3,Marketing,Executive,1
54,18,44397,3,Finance,Consultant,0
55,12,71555,3,Finance,Executive,0
56,2,76959,3,HR,Consultant,0
57,10,30728,4,Marketing,Developer,0
58,4,80517,1,Engineering,Manager,0
59,14,96234,4,Marketing,Developer,0
60,16,69954,4,Engineering,Developer,0
61,15,77280,3,Sales,Analyst,0
62,8,109459,2,Marketing,Analyst,0
63,14,46779,2,Sales,Analyst,0
64,8,93932,4,Finance,Analyst,0
65,16,102936,4,Finance,Consultant,0
66,13,54466,3,HR,Executive,0
67,18,66939,4,Marketing,Manager,0
68,15,99896,3,Sales,Developer,0
69,13,65270,2,Engineering,Consultant,1
70,9,89163,2,Finance,Manager,0
71,15,112637,1,Finance,Consultant,1
72,13,81934,2,Engineering,Consultant,0
73,1,94895,4,Sales,Developer,0
74,7,62307,2,Sales,Executive,0
75,9,84098,3,Marketing,Analyst,1
76,1,90921,2,Marketing,Executive,0
77,12,35486,1,HR,Developer,1
78,8,38335,2,Finance,Developer,1
79,11,116900,3,Marketing,Developer,0
80,19,119112,3,Sales,Manager,0
81,17,41130,4,Engineering,Executive,0
82,8,117508,2,Sales,Executive,0
83,3,90566,3,Finance,Consultant,1
84,3,96703,1,Sales,Consultant,1
85,1,57192,4,HR,Consultant,0
